Username,Hashtags,Headings,Likes,Comments,Repost,Replies
tanjiiro.tt,['NA'],Zenitsu aura 💀,456,4,37,
cinee_worldd,['Prabhas #DeepikaPadukone #AmitabhBachchan #Kalki2898AD #KamalHaasan #NagAshwin #DishaPatani #Cinee_Worldd'],This Interval Block🔥🔥🔥🔥,291,5,5,
ekow_hudson,['NA'],"THE heart CHANGE COLOUR WHEN YOU LIKE
👉🏿👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👈🏿
👉🏿👉🏾👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👇🏼👇🏼👇🏼👇🏼👇🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👇🏻👇🏻👇🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👉🏻🤍👈🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👆🏻👆🏻👆🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👆🏼👆🏼👆🏼👆🏼👆🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👈🏾👈🏿
👉🏿👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👈🏿
👉🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👈🏿",2.7K,27,14,
anime_professor_telugu,['anime #animeprofessortelugu #animeedit #animetelugu #animetelugumemes #animetelugufans #otakutelugu'],Zenitsu is the main character,1K,8,21,
_animeop_,['~Anime Threads'],⚡️,5.7K,33,418,
lenswithaglance,"['⭐️Rating 2/5', 'What I liked:\n1. Amazing visual effects \n2. The Mahabharat connection (which I definitely not guessed from the trailer)\n3. Massy BGM (specially the climax one)', 'What I dislike:\n1. Poor songs\n2. Unnecessarily long runtime\n3. Too much characters\n4. Unnecessary cameo of Disha Patani\n5. Resemblance from Marvel\n6. Kamal Haasan’s role was limited']",Kalki 2898 AD - Honest Review,42,4,1,
tanjiiro.tt,['NA'],DemonSlayer Ep 8 Wallpapers 🔥,805,5,63,
kyou.acab,['NA'],DemonSlayer S4 Hashira Training Arc be like:,3.4K,25,170,
hypekagetv,['NA'],"Demon Slayer Season 4 episode 8 just got a near-perfect 9.9/10 on IMDB, and that's from 7,300 people (including me) who rated it! This is undoubtedly one of the BEST episodes in the entire series! demonslayer",544,4,19,
the_film_of_today,['1. #Jawan: 12.40M\n2. #Animal: 9.91M\n3. #Gadar2: 9.80M\n4. #Jailer: 9.21M \n5. #Leo: 7.30M\n6. #Salaar: 7.16M\n7. #Kalki2898AD : 7.15M** ✅\n8. #Hanuman: 4.72M \n9. #ManjummelBoys : 4.32M\n10. #Dunki: 4.08M'],All Time Top BMS Tickets Sales ;,8,1,,
electrifyingcodes,['Name a better trio than this ? 👇🏼'],"HTML
CSS
JS",15,32,98,
taranadarsh,"['Kalki2898AD is eyeing ₹ 161 cr [+/-] in its *extended* Week 1 and should hit ₹ 200 cr in Weekend 2.', '[Week 1] Thu 22.50 cr, Fri 23.25 cr, Sat 26.25 cr, Sun 40.15 cr, Mon 16.50 cr, Tue 13 cr. Total: ₹ 141.65 cr Nett BOC. #India biz. #Boxoffice. NOTE: Data of HINDI version only.']","#Kalki2898AD continues to spell magic at the #BO, the super-strong performance on weekdays [Day 5 and 6] - after a 4-day *extended* weekend - says it all... Will cross ₹ 150 cr *TODAY* [Wed; Day 7].",98,1,457,
tanjiiro.tt,['NA'],Zenitsu aura 💀,457,4,37,
prabhasfansclub_,['NA'],Maa nayakudu ✊ actorprabhas,154,1,1K,
anime_professor_telugu,['anime #animeprofessortelugu #animeedit #animetelugu #animetelugumemes #animetelugufans #otakutelugu'],Zenitsu is the main character,1K,8,21,
_animeop_,['~Anime Threads'],⚡️,5.7K,33,418,
lenswithaglance,"['⭐️Rating 2/5', 'What I liked:\n1. Amazing visual effects \n2. The Mahabharat connection (which I definitely not guessed from the trailer)\n3. Massy BGM (specially the climax one)', 'What I dislike:\n1. Poor songs\n2. Unnecessarily long runtime\n3. Too much characters\n4. Unnecessary cameo of Disha Patani\n5. Resemblance from Marvel\n6. Kamal Haasan’s role was limited']",Kalki 2898 AD - Honest Review,42,4,1,
tanjiiro.tt,['NA'],DemonSlayer Ep 8 Wallpapers 🔥,810,5,64,
cine__muchatlu,['NA'],#jrntr #jahnvikapoor #devara #shekarmaster,7,544,544,
hypekagetv,['NA'],"Demon Slayer Season 4 episode 8 just got a near-perfect 9.9/10 on IMDB, and that's from 7,300 people (including me) who rated it! This is undoubtedly one of the BEST episodes in the entire series! demonslayer",544,4,19,
kyou.acab,['NA'],DemonSlayer S4 Hashira Training Arc be like:,3.5K,25,171,
games_of_thrones_club,['NA'],"Hannah Waddingham, who portrayed Septa Unella on *Game of Thrones*, humorously commented on HBO’s post featuring Rhaenyra's Septa disguise in *House of the Dragon* Episode 3: 
""That’s MY outfit!!! Get it off!!!!""🤣",170,4,4,
g2k_cinemas,"['Stunning makeup look.....💯 @g2k_cinemas 🙏', 'kalki2899ad #kalki #amitabhbachchan #prabhas \n#g2kcinemas']",Behind the Scenes......🔥Bigg B💕 @amitabhbachchan,27,4,4,
besant_technologies_headoffice,"['Congrats Sabitha Got Placed as a Java FullStack Developer', 'Sabitha Got Placed as a Java FullStack Developer 🔥', 'All The Best For Your Future ❤️', 'Get IT Jobs (Any Degree) from 𝐁𝐞𝐬𝐚𝐧𝐭 𝐓𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐞𝐬 𝐕𝐞𝐥𝐚𝐜𝐡𝐞𝐫𝐲🔥.']",B.E(ECE) To  IT Java FullStack Developer,4,50,50,
_vardhandhfm_,"['SS Rajamouli has officially signed Prithviraj to play the antagonist in his upcoming film with Mahesh Babu. Prithviraj is thrilled about his first-ever collaboration with both Rajamouli and Mahesh Babu, especially since the character he will portray is well-written with its own compelling arc and backstory that justifies his actions. The film promises to push the boundaries of Indian cinema with never-seen-before visuals,']",#SSMB29 - 𝐌𝐚𝐡𝐞𝐬𝐡 𝐁𝐚𝐛𝐮 - 𝐒𝐒 𝐑𝐚𝐣𝐚𝐦𝐨𝐮𝐥𝐢 - 𝐏𝐫𝐢𝐭𝐡𝐯𝐢𝐫𝐚𝐣,50,1,3,
iamkartikmalik,['NA'],"I am highly excited for the start of new DC universe and as a DC fan I will surely support that new superman and all the films or projects @jamesgunn will create in upcoming future. The new Superman looks amazing. But Henry Cavill Superman is very close to me & this flight scene is the best in whole film. 
@zsnyderofficial Gave us this epic Superman. As a DC fan I love this. Superman",3,1,1,
wirallybuzz,['NA'],#kalkiad2898ad,6,1.2K,1.2K,
imhvy,['Never letting myself get that bad again.'],"Woke up to great news. 
I lost the last pound. 
100 down. 338 - 238.",1.2K,60,3,
i__prabhas_,"['𝐔-𝐍-𝐒-𝐓-𝐎-𝐏-𝐏-𝐀-𝐁-𝐋-𝐄  at Box-office 🔥🔥', 'Prabhas #Kalki2898AD @vyjayanthimovies @kalki2898ad']",#Kalki2898AD collects 680 CR+ worldwide gross in 6 days,55,202,202,
eldarkgeek69,['NA'],#UltramMan | #Superman |,202,21,3,
pinkvillasouth,['NA'],"@actorsuriya and @hegdepooja have wrapped up shooting two songs for the tentatively titled Suriya 44. Currently filming in the Andaman, the team has also completed some action-packed scenes. Directed by Karthik Subbaraj, the film marks his first collaboration with Suriya. The stunt coordinator, Kecha Khamphakdee, praised Suriya's dedication to the action sequences. Alongside Pooja Hegde, the cast includes Jayaram, Karunakaran, and Joju George, with Santhosh Narayanan composing the music.",3,258,258,
gameofthronesnotofficial,['NA'],"Rhaenyra gave to Rhaena are Daenerys' dragons, Drogon, Rhaegal, and Viserion 🔥",258,2,4,
chennaiipedia,['NA'],Thalapathy 😍🔥,92,1,696,
aashan_khan01,['What a legend 🇮🇳❤️❤️❤️'],"Kohli is the only cricketer in the world to win the U19 World Cup, ODI World Cup, T20 World Cup & Champions Trophy.",696,10,9,
starstar_rebelstar,"['Those numbers tell the story of the destruction that took over the UK Box Office 🙌🏽', '£1,006,079+ gross and still raging high ❤️ \n#prabhas #kalki2898ad #starstarrebelstar #epicblockbusterkalki']",The REBEL FORCE has erupted in every corner 💥🔥,10,178,178,
tanjiiro.tt,['NA'],Happy Birthday Tamayo sama ✨💜,178,9,9,
telugufilmnagar,"['Dance Choreographer #JaniMaster reveals a great work done by Mega power star @alwaysramcharan & @upasanakaminenikonidela!👏👏', 'RamCharan #GameChanger #RC16 #TeluguFilmNagar']",సరైన సమయంలో సహాయం చేసేవాడు దేవుడు 🙏 - @alwaysjani,9,43,43,
_tejaaaaa08_,['She: Love chesthe pelli cheskovali gurthupettuko❤️'],Me: Nuvvante ishtam naku,43,1,1,
telugufilmnagar,"['- @nag_ashwin via Insta story.', 'Prabhas #Kalki2898AD #TeluguFilmNagar']","This man sitting casually there is the reason for all this, 𝐮𝐧𝐛𝐢𝐚𝐬𝐞𝐝𝐥𝐲 𝐭𝐡𝐞 𝐛𝐢𝐠𝐠𝐞𝐬𝐭 𝐛𝐨𝐱 𝐨𝐟𝐟𝐢𝐜𝐞 𝐬𝐭𝐚𝐫 𝐨𝐟 𝐭𝐡𝐢𝐬 𝐞𝐫𝐚... He gave our production the confidence to do what we did, he gave me the freedom to do what i did...and so many intelligent inputs helped guide the film to what it is... 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞’𝐬 𝐝𝐚𝐫𝐥𝐢𝐧𝐠, 𝐨𝐮𝐫 𝐁𝐡𝐚𝐢𝐫𝐚𝐯𝐚 𝐚𝐧𝐝 𝐧𝐨𝐰 𝐭𝐡𝐞 𝐰𝐨𝐫𝐥𝐝’𝐬 𝐊_ _ _ _ _ .🔥🔥",28,1.7K,1.7K,
bollywood.cocktail,['anushkasharma'],Anushka Sharma,1.7K,7,6,
netflix_in,['NA'],Which is the first malayalam movie you ever watched?🤔,18,8,1,
lovercuddle,['NA'],Swim away!!!! 😭,3.2K,101,102,
thedailydpk,['NA'],"Picture of the day ♥️🫶🏻
#ThalapathyVijay",14,15,15,
filmipedia_,['NA'],Watched?,15,368,368,
feelings.wala.ladka,['NA'],Now only South directors can save him,368,6,33,
harsha_harsha143_,['NA'],Marriage 😋 చేసుకోవడానికి ఇంట్రెస్ట్ ఉంటే మెసేజ్ చేయండి... నాకు కట్నం కూడా వద్దు.. మా అమ్మని హ్యాపీగా చూసుకుంటే చాలు..🤭🙈 నో జోక్ సీరియస్ అబ్బా,33,12,,
orey_battachary,['oreybattachary #insipiration #cricket #cricketer#ipl2024\n#gunturkaaram #maheshbabu #devara #telugumemes #crushmemes #telugutrolls #pawankalyan #salaar #prabhas #viratkohli #telugu #telugumemes #telugucomedy #telugusongs #telugutrolls #telugucinema #telugudubsmash #telugumovie #telugujokes #telugumusic #telugumovies #teluguactor #telugulovesongs #telugufunnymemes'],"Global star💥💞
,.
.",110,1,1,
